Name,Time,Artist,Album,Genre,Plays,Album Artist,Release Date,Track Number,Last Played,Skips,Last Skipped,Date Added,Composer
Angel,5:07,Aerosmith,Big Ones,Rock,,,,14 of 15,,,,7/10/2013 16:13:00,"Steven Tyler, Desmond Child"
Livin' On The Edge,6:21,Aerosmith,Big Ones,Rock,,,,15 of 15,,,,7/10/2013 16:13:00,"Steven Tyler, Joe Perry, Mark Hudson"
Leisureforce,4:44,Aesop Rock,Skelethon (Deluxe Version),Hip-Hop/Rap,,Aesop Rock,10/7/2012,1 of 17,,,,20/03/2015 2:01 AM,
ZZZ Top,4:15,Aesop Rock,Skelethon (Deluxe Version),Hip-Hop/Rap,,Aesop Rock,10/7/2012,2 of 17,,,,20/03/2015 2:01 AM,
Cycles to Gehenna,4:01,Aesop Rock,Skelethon (Deluxe Version),Hip-Hop/Rap,,Aesop Rock,10/7/2012,3 of 17,,,,20/03/2015 2:01 AM,
Zero Dark Thirty,3:21,Aesop Rock,Skelethon (Deluxe Version),Hip-Hop/Rap,,Aesop Rock,10/7/2012,4 of 17,,,,20/03/2015 2:01 AM,
Fryerstarter,3:29,Aesop Rock,Skelethon (Deluxe Version),Hip-Hop/Rap,,Aesop Rock,10/7/2012,5 of 17,,,,20/03/2015 2:01 AM,
Ruby '81,2:34,Aesop Rock,Skelethon (Deluxe Version),Hip-Hop/Rap,,Aesop Rock,10/7/2012,6 of 17,,,,20/03/2015 2:01 AM,
Crows 1,4:20,Aesop Rock,Skelethon (Deluxe Version),Hip-Hop/Rap,,Aesop Rock,10/7/2012,7 of 17,,,,20/03/2015 2:01 AM,
Crows 2,2:30,Aesop Rock,Skelethon (Deluxe Version),Hip-Hop/Rap,,Aesop Rock,10/7/2012,8 of 17,,,,20/03/2015 2:01 AM,
Racing Stripes,3:23,Aesop Rock,Skelethon (Deluxe Version),Hip-Hop/Rap,,Aesop Rock,10/7/2012,9 of 17,,,,20/03/2015 2:01 AM,
"1,000 O'Clock",3:59,Aesop Rock,Skelethon (Deluxe Version),Hip-Hop/Rap,,Aesop Rock,10/7/2012,10 of 17,,,,20/03/2015 2:01 AM,
Homemade Mummy,2:46,Aesop Rock,Skelethon (Deluxe Version),Hip-Hop/Rap,,Aesop Rock,10/7/2012,11 of 17,,,,20/03/2015 2:01 AM,
Grace,3:39,Aesop Rock,Skelethon (Deluxe Version),Hip-Hop/Rap,,Aesop Rock,10/7/2012,12 of 17,,,,20/03/2015 2:01 AM,
Saturn Missiles,3:37,Aesop Rock,Skelethon (Deluxe Version),Hip-Hop/Rap,,Aesop Rock,10/7/2012,13 of 17,,,,20/03/2015 2:01 AM,
Tetra,4:41,Aesop Rock,Skelethon (Deluxe Version),Hip-Hop/Rap,,Aesop Rock,10/7/2012,14 of 17,,,,20/03/2015 2:01 AM,
Gopher Guts,3:58,Aesop Rock,Skelethon (Deluxe Version),Hip-Hop/Rap,,Aesop Rock,10/7/2012,15 of 17,,,,20/03/2015 2:01 AM,
Dokken Rules (feat. Rob Sonic),4:00,Aesop Rock,Skelethon (Deluxe Version),Hip-Hop/Rap,,Aesop Rock,10/7/2012,16 of 17,,,,20/03/2015 2:01 AM,
BMX (feat. Blueprint & Rob Sonic),3:35,Aesop Rock,Skelethon (Deluxe Version),Hip-Hop/Rap,,Aesop Rock,10/7/2012,17 of 17,,,,20/03/2015 2:01 AM,
Digital Booklet - Skelethon (Deluxe Version),,Aesop Rock,Skelethon (Deluxe Version),Hip-Hop/Rap,,Aesop Rock,,,,,,20/03/2015 2:01 AM,
