Name,Time,Artist,Album,Genre,Plays,Album Artist,Release Date,Track Number,Last Played,Skips,Last Skipped,Date Added,Composer
Two Heavens,3:02,Death Grips,Government Plates,Rock & Roll,1,Death Grips,,3 of 11,21/01/2014 9:53 PM,,,19/12/2013 5:14 PM,Death Grips
This is Violence Now (Dont get me wrong),2:38,Death Grips,Government Plates,Rock & Roll,1,Death Grips,,4 of 11,21/01/2014 9:56 PM,,,19/12/2013 5:14 PM,Death Grips
Birds,4:38,Death Grips,Government Plates,Rock & Roll,1,Death Grips,,5 of 11,21/01/2014 10:00 PM,,,19/12/2013 5:14 PM,Death Grips
Feels like a wheel,2:22,Death Grips,Government Plates,Rock & Roll,1,Death Grips,,6 of 11,21/01/2014 10:03 PM,1,5/1/2014 17:22:00,19/12/2013 5:14 PM,Death Grips
Im Overflow,3:09,Death Grips,Government Plates,Rock & Roll,1,Death Grips,,7 of 11,21/01/2014 10:06 PM,,,19/12/2013 5:14 PM,Death Grips
Big House,2:19,Death Grips,Government Plates,Rock & Roll,1,Death Grips,,8 of 11,21/01/2014 10:08 PM,,,19/12/2013 5:14 PM,Death Grips
Government Plates,2:42,Death Grips,Government Plates,Rock & Roll,1,Death Grips,,9 of 11,21/01/2014 10:11 PM,,,19/12/2013 5:14 PM,Death Grips
Bootleg (Dont need your help),2:06,Death Grips,Government Plates,Rock & Roll,1,Death Grips,,10 of 11,21/01/2014 10:13 PM,,,19/12/2013 5:14 PM,Death Grips
Whatever I want (Fuck who's watching),6:38,Death Grips,Government Plates,Rock & Roll,1,Death Grips,,11 of 11,21/01/2014 10:20 PM,,,19/12/2013 5:14 PM,Death Grips
Get Got,2:52,Death Grips,The Money Store,"Hip-Hop, Alternative",2,,,1 of 13,21/01/2014 10:22 PM,1,17/06/2014 9:06 PM,19/12/2013 5:14 PM,Andy Morin; Stefan Burnett; Zach Hill
The Fever (Aye Aye),3:07,Death Grips,The Money Store,"Hip-Hop, Alternative",2,,,2 of 13,21/01/2014 10:26 PM,,,19/12/2013 5:14 PM,Andy Morin; Stefan Burnett; Zach Hill
Lost Boys,3:06,Death Grips,The Money Store,"Hip-Hop, Alternative",2,,,3 of 13,21/01/2014 10:29 PM,,,19/12/2013 5:14 PM,Andy Morin; Stefan Burnett; Zach Hill
Blackjack,2:22,Death Grips,The Money Store,"Hip-Hop, Alternative",2,,,4 of 13,21/01/2014 10:31 PM,,,19/12/2013 5:14 PM,Andy Morin; Stefan Burnett; Zach Hill
Hustle Bones,3:12,Death Grips,The Money Store,"Hip-Hop, Alternative",2,,,5 of 13,21/01/2014 10:34 PM,,,19/12/2013 5:14 PM,Andy Morin; Stefan Burnett; Zach Hill
I've Seen Footage,3:23,Death Grips,The Money Store,"Hip-Hop, Alternative",2,,,6 of 13,21/01/2014 10:38 PM,,,19/12/2013 5:14 PM,Andy Morin; Stefan Burnett; Zach Hill
Double Helix,2:40,Death Grips,The Money Store,"Hip-Hop, Alternative",2,,,7 of 13,21/01/2014 10:40 PM,,,19/12/2013 5:14 PM,Andy Morin; Stefan Burnett; Zach Hill
System Blower,3:48,Death Grips,The Money Store,"Hip-Hop, Alternative",2,,,8 of 13,21/01/2014 10:44 PM,,,19/12/2013 5:14 PM,Andy Morin; Stefan Burnett; Zach Hill
The Cage,3:31,Death Grips,The Money Store,"Hip-Hop, Alternative",2,,,9 of 13,21/01/2014 10:48 PM,,,19/12/2013 5:14 PM,Andy Morin; Stefan Burnett; Zach Hill
Punk Weight,3:24,Death Grips,The Money Store,"Hip-Hop, Alternative",1,,,10 of 13,5/1/2014 18:34:00,,,19/12/2013 5:14 PM,Andy Morin; Stefan Burnett; Zach Hill
Fuck That,2:25,Death Grips,The Money Store,"Hip-Hop, Alternative",1,,,11 of 13,5/1/2014 18:36:00,,,19/12/2013 5:14 PM,Andy Morin; Stefan Burnett; Zach Hill
Bitch Please,2:56,Death Grips,The Money Store,"Hip-Hop, Alternative",1,,,12 of 13,5/1/2014 18:39:00,,,19/12/2013 5:14 PM,Andy Morin; Stefan Burnett; Zach Hill
Hacker,4:36,Death Grips,The Money Store,"Hip-Hop, Alternative",1,,,13 of 13,5/1/2014 18:44:00,,,19/12/2013 5:14 PM,Andy Morin; Stefan Burnett; Zach Hill
Come Up and Get Me,4:13,Death Grips,No Love Deep Web,Hip-Hop/Rap,4,Death Grips,19/11/2013,1 of 13,6/2/2014 22:54:00,,,21/11/2013 2:44 PM,Death Grips
Lil Boy,3:46,Death Grips,No Love Deep Web,Hip-Hop/Rap,4,Death Grips,19/11/2013,2 of 13,6/2/2014 22:57:00,,,21/11/2013 2:44 PM,Death Grips
No Love,5:04,Death Grips,No Love Deep Web,Hip-Hop/Rap,2,Death Grips,19/11/2013,3 of 13,6/2/2014 23:02:00,,,21/11/2013 2:44 PM,Death Grips
Black Dice,3:27,Death Grips,No Love Deep Web,Hip-Hop/Rap,2,Death Grips,19/11/2013,4 of 13,6/2/2014 23:06:00,,,21/11/2013 2:44 PM,Death Grips
World of Dogs,2:42,Death Grips,No Love Deep Web,Hip-Hop/Rap,4,Death Grips,19/11/2013,5 of 13,6/2/2014 23:09:00,,,21/11/2013 2:44 PM,Death Grips
Lock Your Doors,3:52,Death Grips,No Love Deep Web,Hip-Hop/Rap,3,Death Grips,19/11/2013,6 of 13,6/2/2014 23:12:00,1,21/11/2013 3:38 PM,21/11/2013 2:44 PM,Death Grips
Whammy,3:09,Death Grips,No Love Deep Web,Hip-Hop/Rap,4,Death Grips,19/11/2013,7 of 13,6/2/2014 23:16:00,,,21/11/2013 2:44 PM,Death Grips
Hunger Games,2:39,Death Grips,No Love Deep Web,Hip-Hop/Rap,1,Death Grips,19/11/2013,8 of 13,6/2/2014 23:18:00,2,25/11/2013 11:06 PM,21/11/2013 2:44 PM,Death Grips
Deep Web,2:18,Death Grips,No Love Deep Web,Hip-Hop/Rap,3,Death Grips,19/11/2013,9 of 13,6/2/2014 23:21:00,,,21/11/2013 2:44 PM,Death Grips
Stockton,3:17,Death Grips,No Love Deep Web,Hip-Hop/Rap,1,Death Grips,19/11/2013,10 of 13,6/2/2014 23:24:00,,,21/11/2013 2:44 PM,Death Grips
Pop,2:54,Death Grips,No Love Deep Web,Hip-Hop/Rap,2,Death Grips,19/11/2013,11 of 13,6/2/2014 23:27:00,,,21/11/2013 2:44 PM,Death Grips
Bass Rattle Stars Out the Sky,2:27,Death Grips,No Love Deep Web,Hip-Hop/Rap,2,Death Grips,19/11/2013,12 of 13,6/2/2014 23:29:00,1,28/11/2013 1:58 PM,21/11/2013 2:44 PM,Death Grips
Artificial Death In the West,5:59,Death Grips,No Love Deep Web,Hip-Hop/Rap,2,Death Grips,19/11/2013,13 of 13,6/2/2014 23:35:00,1,28/11/2013 2:10 PM,21/11/2013 2:44 PM,Death Grips
Smoke On The Water,7:43,Deep Purple,The Best Of 70's Rock (The Millennium Collection),Rock,,,,13 of 13,,,,7/10/2013 16:13:00,
Magnet,6:20,DeepPsychosis,Blood Moon Rising,Drum And Bass,,,,,,,,7/10/2013 16:13:00,
Wasting My Time,4:28,Default,Big Shiny Tunes 6,Rock,,,,5 of 18,,,,7/10/2013 16:13:00,
Dogs Can Grow Beards All Over,3:29,The Devil Wears Prada,Dear Love: A Beautiful Discord,Rock,,The Devil Wears Prada,4/6/2006,3 of 11,,,,27/09/2009 9:31 AM,
"Swords, Dragons & Diet Coke",4:06,The Devil Wears Prada,Dear Love: A Beautiful Discord,Rock,,The Devil Wears Prada,4/6/2006,7 of 11,,,,6/10/2009 20:53:00,
Goats On a Boat,4:25,The Devil Wears Prada,Plagues,Rock,,The Devil Wears Prada,21/08/2007,1 of 10,,,,6/10/2009 20:52:00,
"Hey John, What's Your Name Again?",3:48,The Devil Wears Prada,Plagues,Rock,,The Devil Wears Prada,21/08/2007,4 of 10,,,,6/10/2009 20:52:00,
Sassafras,3:16,The Devil Wears Prada,With Roots Above and Branches Below,Rock,,The Devil Wears Prada,4/5/2009,1 of 11,,,,27/09/2009 9:31 AM,
Whip It,2:40,Devo,The Best 80s Modern Rock Album... Ever! (Disc 1),Rock,,,,14 of 16,,,,7/10/2013 16:13:00,
Lyin' Eyes,6:31,Diamond Rio,Common Thread: The Songs Of The Eagles,Rock,,,,8 of 13,,,,7/10/2013 16:13:00,
Indestructible,4:36,Disturbed,Indestructible,Metal,,,,1,,,,7/10/2013 16:13:00,
Inside The Fire,3:52,Disturbed,Indestructible,Metal,,Disturbed,,2,,,,7/10/2013 16:13:00,Disturbed
Ten Thousand Fists,3:32,Disturbed,Ten Thousand Fists,Rock,,Disturbed,19/09/2005,1 of 14,,,,26/06/2010 11:58 AM,
Stricken,4:05,Disturbed,Ten Thousand Fists,Rock,,Disturbed,19/09/2005,5 of 14,,,,26/06/2010 11:57 AM,
Land of Confusion,4:47,Disturbed,Ten Thousand Fists,Rock,,Disturbed,19/09/2005,11 of 14,,,,26/06/2010 11:57 AM,
"Fix Up, Look Sharp vs. Organ Donor (Extended Overhaul)",2:57,Dizzee Rascal vs. DJ Shadow,DJ Hero Soundtrack,Game,,,,,,,,7/10/2013 16:13:00,
"Fix Up, Look Sharp vs. Genesis",3:25,Dizzee Rascal vs. Justice,DJ Hero Soundtrack,Game,,,,,,,,7/10/2013 16:13:00,
01 - Grandmaster Flash & The Furious,2:48,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
02 - Snow - Informer Mixed With Jack,3:26,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
03 - Iyaz - Replay Mixed With Rihann,3:49,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
04 - Soulja Boy Tell 'Em - Crank Tha,3:30,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
05 - Kanye West - Heartless Mixed Wi,3:03,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
06 - 2Pac ft. Dr. Dre and Roger Trou,3:29,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
07 - Tweet ft. Missy Elliott - Oops,3:47,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,1,13/04/2014 2:04 PM,7/10/2013 16:13:00,
08 - Pussycat Dolls ft. Busta Rhymes,3:49,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
09 - Flo Rida - Low Mixed With David,3:24,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
10 - Janet Jackson - Nasty Mixed Wit,3:42,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
11 - Stevie Wonder - Superstition Mi,3:02,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
12 - Nelly - Hot In Herre Mixed With,4:15,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
13 - Estelle ft. Kanye West - Americ,3:11,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
14 - Lady Gaga feat. Colby O'Donis -,3:28,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
15 - LL Cool J - I Can't Live Withou,3:22,DJ Hero 2,DJ Hero 2,Game,1,DJ Hero 2,,,25/08/2014 12:28 AM,,,7/10/2013 16:13:00,
16 - Eminem - Not Afraid Mixed With,4:09,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
17 - David Guetta & Chris Willis - L,3:27,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
18 - Dizzee Rascal & Armand Van Held,3:20,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
19 - Salt N Pepa - Push It Mixed Wit,3:38,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
20 - Damian Marley - Welcome To Jamr,3:06,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
21 - Timbaland ft. Drake - Say Somet,3:30,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
22 - Deee-Lite - Groove Is In The He,4:12,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
23 - Busta Rhymes - Put Your Hands W,3:46,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
24 - Salt N Pepa - Push It Mixed Wit,4:41,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
25 - Timbaland ft. Keri Hilson & D.O,3:03,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
26 - 2Pac ft. Dr. Dre and Roger Trou,3:43,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
27 - Gorillaz ft. Mos Def & Bobby Wo,3:20,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
28 - David Guetta ft. Kid Cudi - Mem,3:48,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
29 - Kanye West - Heartless Mixed Wi,3:51,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
30 - Pitbull - I Know You Want Me (C,3:40,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
31 - Kelis - Acapella (David Guetta,4:29,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
32 - Missy Elliott - Get Ur Freak On,3:51,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
33 - Sean Paul - Get Busy Mixed With,3:40,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
34 - House Of Pain - Jump Around Mix,2:22,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
35 - Newcleus - Jam On It Mixed With,4:05,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
36 - Kanye West - Love Lockdown Mixe,3:26,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
37 - Robin S. - Show Me Love (Stoneb,5:28,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
38 - Wayne Smith - Under Mi Sleng Te,3:42,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
39 - Calvin Harris - I'm Not Alone M,3:58,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
40 - Sean Paul - Get Busy Mixed With,3:51,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
41 - Deadmau5 & Kaskade - I Remember,5:01,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
42 - Missy Elliott - Get Ur Freak On,3:11,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
43 - Kaskade & Deadmau5 - Move For M,3:41,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
44 - BlakRoc ft. Pharoahe Monch & RZ,4:06,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
45 - Flo Rida ft. Will.I.Am - In The,4:32,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
46 - Justice - D.A.N.C.E. Remix,3:15,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
47 - Lil' Wayne feat. Static Major -,3:44,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
48 - The Chemical Brothers ft. Q-Tip,3:31,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
49 - Daft Punk - Human After All (Re,3:30,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
50 - Major Lazer feat. VYBZ Kartel -,3:57,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
51 - Basement Jaxx - Where's Your He,4:30,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
52 - Kanye West - Love Lockdown Mixe,3:49,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
53 - Afrika Bambaataa and The Soul S,4:16,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
54 - Young Jeezy ft. Kanye West - Pu,3:29,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
55 - Adamski - Killer Remix,4:21,DJ Hero 2,DJ Hero 2,Game,1,DJ Hero 2,,,13/04/2014 3:24 PM,,,7/10/2013 16:13:00,
56 - Nas feat. Keri Hilson - Hero Mi,3:54,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
57 - MSTRKRFT ft. N.O.R.E. - Bounce,4:19,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
58 - Lil Jon & The East Side Boyz ft,4:46,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
59 - DJ Shadow - Midnight In A Perfe,4:14,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
60 - Lady Gaga - Bad Romance Remix,4:43,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
61 - Tiësto & Sneaky Sound System -,4:52,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
62 - The Notorious B.I.G. ft. Mase &,4:30,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
63 - The Prodigy - Firestarter (Remi,3:44,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
64 - Damian Marley - Welcome To Jamr,4:27,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
65 - The Chemical Brothers ft. Q-Tip,4:06,DJ Hero 2,DJ Hero 2,Game,,DJ Hero 2,,,,,,7/10/2013 16:13:00,
Theme of the Elements,3:17,DJ Jhozy,Golden Sun,Game,,,,,,,,7/10/2013 16:13:00,
Six Days vs. Annie's Horn,3:41,DJ Shadow featuring Mos Def vs. D-Code,DJ Hero Soundtrack,Game,,,,,,,,7/10/2013 16:13:00,
The End Of The Innocence,5:18,Don Henley,The End Of The Innocence,Rock,,,,1 of 10,,,,7/10/2013 16:13:00,"Henley, Don & Hornsby, Bruce"
How Bad Do You Want It?,3:48,Don Henley,The End Of The Innocence,Rock,,,,2 of 10,,,,7/10/2013 16:13:00,"Henley, Don; Kortchmar, Danny & Lynch, Stan"
I Will Not Go Quietly,5:44,Don Henley,The End Of The Innocence,Rock,,,,3 of 10,,,,7/10/2013 16:13:00,"Henley, Don & Kortchmar, Danny"
The Last Worthless Evening,6:04,Don Henley,The End Of The Innocence,Rock,,,,4 of 10,,,,7/10/2013 16:13:00,"Henley, Don; Corey, John & Lynch, Stan"
New York Minute,6:37,Don Henley,The End Of The Innocence,Rock,,,,5 of 10,,,,7/10/2013 16:13:00,"Henley, Don; Kortchmar, Danny & Winding, Jai"
Shangri-La,4:57,Don Henley,The End Of The Innocence,Rock,,,,6 of 10,,,,7/10/2013 16:13:00,"Kortchmar, Danny; Jordan, Steve & Henley, Don"
Little Tin God,4:44,Don Henley,The End Of The Innocence,Rock,,,,7 of 10,,,,7/10/2013 16:13:00,"Henley, Don; Kortchmar, Danny & Souther, JD"
Gimme What You Got,6:14,Don Henley,The End Of The Innocence,Rock,,,,8 of 10,,,,7/10/2013 16:13:00,"Henley, Don; Lynch, Stan & Corey, John"
If Dirt Were Dollars,4:35,Don Henley,The End Of The Innocence,Rock,,,,9 of 10,,,,7/10/2013 16:13:00,"Henley, Don; Kortchmar, Danny & Souther, JD"
The Heart Of The Matter,5:23,Don Henley,The End Of The Innocence,Rock,,,,10 of 10,,,,7/10/2013 16:13:00,"Campbell, Mike; Henley, Don & Souther, JD"
Riders on the Storm,7:17,The Doors,The Best of the Doors,Rock,,,,1 of 14,,,,7/10/2013 16:13:00,
Light My Fire,7:08,The Doors,The Best of the Doors,Rock,,,,2 of 14,,,,7/10/2013 16:13:00,
Love Me Two Times,3:17,The Doors,The Best of the Doors,Rock,,,,3 of 14,,,,7/10/2013 16:13:00,
Roadhouse Blues-Live Version,4:35,The Doors,The Best of the Doors,Rock,,,,4 of 14,,,,7/10/2013 16:13:00,
Strange Days,3:08,The Doors,The Best of the Doors,Rock,,,,5 of 14,,,,7/10/2013 16:13:00,
Break On Through (to the other side),2:28,The Doors,The Best of the Doors,Rock,,,,6 of 14,,,,7/10/2013 16:13:00,
Five To One,3:20,The Doors,The Best of the Doors,Rock,,,,7 of 14,,,,7/10/2013 16:13:00,
Moonlight Drive,2:12,The Doors,The Best of the Doors,Rock,,,,8 of 14,,,,7/10/2013 16:13:00,
Alabama Song (Whiskey Bar),3:13,The Doors,The Best of the Doors,Rock,,,,9 of 14,,,,7/10/2013 16:13:00,
Love Her Madly,3:34,The Doors,The Best of the Doors,Rock,,,,10 of 14,,,,7/10/2013 16:13:00,
People Are Strange,2:16,The Doors,The Best of the Doors,Rock,,,,11 of 14,,,,7/10/2013 16:13:00,
Touch Me,7:53,The Doors,The Best of the Doors,Rock,,,,12 of 14,,,,7/10/2013 16:13:00,
Backdoor Man,11:46,The Doors,The Best of the Doors,Rock,,,,13 of 14,,,,7/10/2013 16:13:00,
The Unknown Soldier,4:26,The Doors,The Best of the Doors,Rock,,,,14 of 14,,,,7/10/2013 16:13:00,
Spirit In The Sky,3:30,Dr. & The Medics,The Best 80s Modern Rock Album... Ever! (Disc 1),Rock,,,,12 of 16,,,,7/10/2013 16:13:00,
Hard Knock Life,1:44,Dr. Evil & Mini Me,Austin Powers,Comedy,,,,,,,,7/10/2013 15:44:00,
Through The Fire And Flames,7:24,Dragon Force,Inhuman Rampage,Rock,,,,,,,,7/10/2013 16:13:00,
Do the Right Thing,2:30,The Dudes,Brain Heart Guitar,Alternative,,The Dudes,,2 of 13,,,,11/11/2010 0:16:00,
Girls On Film,3:30,Duran Duran,The Best 80s Modern Rock Album... Ever! (Disc 1),Rock,,,,4 of 16,,,,7/10/2013 16:13:00,
Hotel California,6:31,The Eagles,Hotel California,Rock,,,,1 of 9,,,,7/10/2013 16:13:00,"Don Felder, Don Henley, Glen Frey"
New Kid In Town,5:05,The Eagles,Hotel California,Rock,,,,2 of 9,,,,7/10/2013 16:13:00,"John David Souther, Don Henley, Glen Frey"
Life In The Fast Lane,4:47,The Eagles,Hotel California,Rock,,,,3 of 9,,,,7/10/2013 16:13:00,"Joe Walsh, Don Henley, Glen Frey"
Wasted Time,4:56,The Eagles,Hotel California,Rock,,,,4 of 9,,,,7/10/2013 16:13:00,"Don Henley, Glen Frey"
Victim Of Love,4:10,The Eagles,Hotel California,Rock,,,,6 of 9,,,,7/10/2013 16:13:00,"Don Felder, John David Souther, Don Henley, Glen Frey"
Pretty Maids All In A Row,3:59,The Eagles,Hotel California,Rock,,,,7 of 9,,,,7/10/2013 16:13:00,"Joe Walsh, Joe Vitale"
Try And Love Again,5:11,The Eagles,Hotel California,Rock,,,,8 of 9,,,,7/10/2013 16:13:00,Randy Meisner
The Last Resort,7:28,The Eagles,Hotel California,Rock,,,,9 of 9,,,,7/10/2013 16:13:00,"Don Henley, Glen Frey"
September,3:37,"Earth, Wind & Fire","Earth, Wind & Fire: Greatest Hits",R&B,,,,,,,,7/10/2013 16:13:00,
Hard Times,3:46,eastmountainsouth,Elizabethtown,Soundtrack,,,,12 of 15,,,,7/10/2013 16:13:00,
Hard Sun,4:21,Eddie Vedder,Into The Wild,Soundtrack,,,,,,,,7/10/2013 16:13:00,
Sol Sanctum,2:59,EgM,Golden Sun,Game,,,,,,,,7/10/2013 16:13:00,
Holes,2:46,Electric Guest,Mondo,Alternative,,Electric Guest,24/04/2012,1 of 10,,,,7/9/2012 17:07:00,"Asa Taccone, Matthew Compton & Brian Burton"
This Head I Hold,2:56,Electric Guest,Mondo,Alternative,,Electric Guest,24/04/2012,2 of 10,,,,7/9/2012 17:07:00,"Asa Taccone, Matthew Compton & Brian Burton"
Under the Gun,3:42,Electric Guest,Mondo,Alternative,,Electric Guest,24/04/2012,3 of 10,,,,7/9/2012 17:07:00,"Asa Taccone, Matthew Compton & Brian Burton"
Awake,5:01,Electric Guest,Mondo,Alternative,,Electric Guest,24/04/2012,4 of 10,,,,7/9/2012 17:07:00,"Asa Taccone, Matthew Compton & Brian Burton"
Amber,3:51,Electric Guest,Mondo,Alternative,,Electric Guest,24/04/2012,5 of 10,,,,7/9/2012 17:07:00,"Asa Taccone, Matthew Compton & Brian Burton"
The Bait,3:06,Electric Guest,Mondo,Alternative,,Electric Guest,24/04/2012,6 of 10,,1,12/3/2014 0:07:00,7/9/2012 17:07:00,"Asa Taccone, Matthew Compton & Brian Burton"
Waves,3:06,Electric Guest,Mondo,Alternative,,Electric Guest,24/04/2012,7 of 10,,,,7/9/2012 17:07:00,"Asa Taccone, Matthew Compton & Brian Burton"
Troubleman,8:49,Electric Guest,Mondo,Alternative,,Electric Guest,24/04/2012,8 of 10,,,,7/9/2012 17:07:00,"Asa Taccone, Matthew Compton & Brian Burton"
American Daydream,2:49,Electric Guest,Mondo,Alternative,,Electric Guest,24/04/2012,9 of 10,,,,7/9/2012 17:07:00,"Asa Taccone, Matthew Compton & Brian Burton"
Control,2:19,Electric Guest,Mondo,Alternative,,Electric Guest,24/04/2012,10 of 10,,,,7/9/2012 17:07:00,"Asa Taccone, Matthew Compton & Brian Burton"
Ghost,3:33,Ella Henderson,Chapter One (Deluxe Version),Pop,,Ella Henderson,16/06/2014,1 of 18,,,,11/12/2014 19:09:00,"Ella Henderson, Ryan Tedder & Noel Zancanella"
Empire,3:50,Ella Henderson,Chapter One (Deluxe Version),Pop,,Ella Henderson,16/06/2014,2 of 18,,,,11/12/2014 19:09:00,"Ella Henderson, Tom Barnes, Ben Kohn, Pete Kelleher & Camille Purcell"
Glow,3:49,Ella Henderson,Chapter One (Deluxe Version),Pop,,Ella Henderson,16/06/2014,3 of 18,,,,11/12/2014 19:09:00,Camille Purcell & Steve Mac
Yours,2:49,Ella Henderson,Chapter One (Deluxe Version),Pop,,Ella Henderson,16/06/2014,4 of 18,,,,11/12/2014 19:09:00,Ella Henderson & Josh Record
Mirror Man,3:42,Ella Henderson,Chapter One (Deluxe Version),Pop,,Ella Henderson,16/06/2014,5 of 18,,,,11/12/2014 19:09:00,"Ella Henderson, Al Shux & Laura Pergolizzi"
Hard Work,4:32,Ella Henderson,Chapter One (Deluxe Version),Pop,,Ella Henderson,16/06/2014,6 of 18,,,,11/12/2014 19:09:00,Ella Henderson & Salaam Remi
